time, count
12644,9
12645,12
12646,11
12647,18
12648,14
12649,1
12650,3
12651,11
12652,7
12653,11
12654,9
12655,10
12656,7
12657,2
12658,3
12659,4
12660,6
12661,7
12662,7
12663,8
12664,12
12665,8
12666,6
12667,6
12668,12
12669,9
12670,5
12671,16
12672,9
12673,10
12674,6
12675,5
12676,8
12677,4
12678,6
12679,9
12680,6
12681,6
12682,5
12683,4
12684,7
12685,7
12686,5
12687,11
12689,5
12690,2
12691,6
12692,4
12693,1
12694,5
12695,6
12697,4
12698,2
12699,5
12700,4
12701,3
12702,7
12703,4
12704,3
12705,6
12706,3
12707,3
12708,6
12709,8
12710,4
12711,6
12712,2
12713,2
12714,3
12715,4
12716,5
12717,6
12718,3
12719,5
12720,4
12721,5
12722,7
12723,9
12724,3
12725,8
12726,11
12727,10
12728,23
12730,24
12733,29
12734,1
12736,30
12739,24
12742,24
12743,10
12746,25
12747,6
12748,1
12749,20
12750,15
12751,1
12752,12
12753,12
12754,12
12755,5
12756,14
12757,10
12758,9
12759,15
12760,6
12761,14
12762,12
12763,7
12764,7
12765,12
12766,14
12767,13
12768,1
12769,12
12772,20
12773,15
12775,24
12776,12
12778,22
12779,8
12781,2
12782,22
12785,25
12788,27
12791,23
12792,11
12794,15
12795,12
12797,12
12798,13
12799,17
12801,15
12802,15
12803,13
12805,13
12806,10
12808,4
12809,11
12810,1
12811,15
12812,10
12813,20
12814,1
12815,1
12816,26
12818,1
12819,29
12821,1
12822,14
12825,30
12828,24
12831,20
12832,7
12834,30
12835,6
12836,1
12837,2
12838,21
12839,14
12840,1
12841,18
12842,14
12844,16
12845,11
12847,8
12848,14
12850,10
12851,8
12852,11
12853,12
12854,7
12855,10
12856,10
12857,10
12858,10
12859,9
12860,16
12861,12
12862,10
12863,13
12864,6
12865,15
12866,15
12867,3
12868,14
12869,16
12870,9
12872,21
12873,17
12875,23
12876,15
12878,24
12879,11
12880,1
12881,5
12882,7
12885,23
12886,15
12888,22
12889,17
12892,19
12893,11
12895,5
12896,11
12898,20
12899,12
12900,9
12901,12
12902,9
12903,14
12904,10
12905,14
12906,14
12907,11
12908,8
12909,16
12910,11
12911,6
12912,14
12913,17
12914,6
12915,11
12916,11
12917,19
12918,2
12919,18
12920,14
12922,7
12923,19
12924,12
12925,1
12926,16
12927,14
12928,7
12929,17
12930,15
12931,12
12932,15
12933,9
12934,13
12935,13
12936,14
12937,11
12938,13
12939,13
12940,15
12941,11
12942,12
12943,8
12944,14
12945,8
12946,17
12947,2
12948,19
12949,16
12951,8
12952,2
12954,22
12955,11
12957,1
12958,23
12959,11
12961,1
12962,11
12963,4
12965,20
12966,12
12968,12
12969,1
12970,13
12971,13
12972,12
12973,12
12974,7
12975,11
12976,7
12977,13
12978,15
12979,6
12980,16
12981,5
12982,15
12983,17
12985,13
12986,14
12987,13
12989,20
12990,17
12991,10
12992,16
12993,2
12994,9
12995,13
12996,14
12997,14
12998,11
12999,13
13000,10
13001,12
13002,13
13003,11
13004,14
13005,14
13006,1
13007,15
13008,16
13009,1
13010,18
13011,14
13013,23
13014,9
13016,18
13017,17
13019,12
13020,14
13021,10
13022,5
13023,11
13024,14
13025,7
13026,7
13027,8
13028,5
13029,7
13030,8
13031,8
13032,17
13033,9
13034,6
13035,8
13036,9
13037,12
13038,11
13039,9
13040,10
13041,8
13042,5
13043,14
13044,8
13045,4
13046,13
13047,11
13048,11
13049,7
13050,14
13051,8
13052,13
13053,14
13055,24
13056,1
13057,1
13058,28
13060,1
13061,14
13064,23
13065,11
13066,2
13067,18
13068,15
13070,11
13071,12
13072,19
13074,18
13075,16
13076,4
13077,15
13078,14
13079,5
13080,10
13081,9
13082,4
13083,13
13084,8
13085,8
13086,11
13087,7
13088,10
13089,5
13090,7
13091,2
13092,8
13093,6
13094,6
13095,19
13096,3
13097,5
13098,4
13099,6
13100,4
13101,15
13102,9
13103,9
13104,8
13105,4
13106,15
13107,2
13108,8
13109,3
13110,5
13111,7
13112,11
13113,6
13115,6
13116,10
13117,8
13118,4
13119,5
13120,11
13121,2
13122,3
13123,5
13124,6
13125,9
13126,13
13127,15
13128,11
13129,1
13130,13
13131,12
13132,1
13133,12
13134,16
13136,8
13137,15
13138,11
13139,16
13140,15
13141,1
13142,9
13143,8
13144,8
13145,16
13146,7
13147,6
13148,9
13149,10
13150,4
13151,9
13152,8
13153,5
13154,4
13155,2
13156,1
13157,9
13158,12
13159,6
13160,5
13161,6
13162,5
13163,3
13164,6
13165,13
13166,9
13167,11
13168,8
13169,10
13170,10
13171,15
13172,15
13173,2
13174,17
13175,12
13177,11
13178,11
13179,18
13180,12
13182,21
13183,10
13185,15
13186,17
13187,12
13189,2
13190,20
13192,5
13193,10
13195,4
13196,11
13197,7
13198,6
13199,11
13200,10
13201,2
13202,3
13203,9
13204,13
13205,6
13206,5
13207,4
13208,3
13209,4
13210,2
13211,9
13212,4
13213,4
13214,7
13215,4
13216,2
13217,2
13218,5
13219,1
13220,8
13221,6
13222,5
13223,5
13224,5
13225,4
13226,3
13227,3
13228,2
13229,5
13230,4
13231,3
13232,4
13233,7
13234,6
13235,9
13236,3
13237,2
13238,8
13239,5
13240,7
13241,3
13242,1
13243,1
13244,6
13245,7
13246,4
13247,7
13248,1
13249,3
13250,5
13251,2
13252,4
13253,6
13254,7
13255,6
13256,3
13257,5
13258,6
13259,8
13260,4
13261,6
13262,7
13263,6
13264,7
13265,7
13266,2
13267,10
13268,14
13269,9
13270,12
13271,13
13273,13
13274,5
13277,4
13278,17
13280,9
13281,14
13282,14
13284,10
13285,6
13286,14
13287,10
13288,8
13289,12
13290,7
13291,4
13292,8
13293,8
13294,6
13295,11
13296,17
13297,13
13299,25
13302,25
13305,21
13306,13
13308,17
13309,11
13311,4
13312,18
13314,12
13315,10
13316,10
13317,10
13318,6
13319,14
13320,6
13321,7
13322,12
13323,13
13325,15
13326,15
13328,24
13329,14
13332,14
13333,9
13334,2
13336,9
13337,14
13338,9
13339,6
13340,11
13341,8
13342,8
13343,7
13344,7
13345,4
13346,9
13347,10
13348,13
13349,5
13350,10
13351,9
13352,8
13353,10
13354,13
13355,6
13356,12
13357,8
13358,12
13359,14
13360,5
13361,10
13362,10
13363,9
13364,7
13365,4
13366,12
13367,7
13368,16
13369,7
13370,15
13371,16
13373,10
13374,15
13375,11
13376,10
13377,16
13378,16
13379,1
13380,21
13381,18
13383,19
13384,19
13386,22
13387,17
13389,15
13390,2
13392,16
13393,13
13394,18
13396,12
13397,8
13398,9
13399,9
13400,10
13401,12
13402,8
13403,7
13404,8
13405,9
13406,4
13407,10
13408,6
13409,12
13410,7
13411,8
13413,11
13414,9
13415,10
13416,6
13417,13
13418,12
13419,18
13420,1
13421,15
13422,15
13423,13
13424,12
13425,19
13426,11
13428,13
13429,17
13431,9
13432,15
13433,11
13434,17
13435,12
13436,14
13437,11
13438,14
13439,14
13440,1
13441,10
13442,16
13443,12
13445,16
13446,15
13447,14
13449,14
13450,14
13452,13
13453,17
13454,10
13456,20
13457,9
13458,16
13459,2
13460,14
13461,15
13463,16
13464,15
13465,15
13467,11
13468,13
13469,15
13470,1
13471,19
13472,14
13474,19
13475,14
13477,19
13478,16
13480,17
13481,11
13483,11
13484,16
13485,8
13487,11
13488,15
13489,8
13490,12
13491,10
13492,6
13493,10
13494,8
13495,12
13496,8
13497,5
13498,8
13499,13
13500,10
13501,8
13502,11
13503,9
13504,14
13505,10
13506,7
13507,10
13508,8
13509,11
13510,4
13511,8
13512,5
13513,7
13514,12
13515,13
13516,9
13517,15
13518,12
13519,9
13520,7
13521,8
13522,12
13523,15
13524,9
13525,7
13526,9
13527,13
13528,10
13529,8
13530,11
13531,8
13532,14
13533,10
13534,7
13535,7
13536,9
13537,13
13538,7
13539,3
13540,15
13541,5
13542,14
13543,16
13544,13
13546,19
13547,20
13549,12
13550,8
13551,7
13552,6
13553,5
13554,5
13555,8
13556,8
13557,8
13558,9
13559,7
13560,8
13561,7
13562,5
13563,5
13564,5
13565,4
13566,5
13567,6
13568,4
13569,4
13570,10
13571,9
13572,8
13573,3
13574,9
13575,5
13576,6
13578,5
13579,6
13580,3
13581,5
13582,8
13583,6
13584,4
13585,9
13586,5
13587,3
13588,7
13589,2
13590,3
13591,3
13592,5
13593,7
13594,5
13595,3
13596,5
13597,6
13598,6
13599,3
13600,3
13601,7
13602,2
13603,6
13604,4
13605,2
13606,7
13607,2
13608,4
13609,6
13610,6
13611,3
13612,5
13613,4
13614,6
13615,6
13616,5
13617,6
13618,5
13619,2
13620,5
13621,8
13622,4
13623,2
13624,3
13625,6
13626,4
13627,3
13628,8
13629,6
13630,8
13631,14
13632,9
13633,16
13634,11
13635,1
13636,21
13637,15
13639,19
13642,27
13645,25
13646,12
13649,20
13650,16
13652,20
13653,12
13654,11
13655,6
13656,11
13657,7
13658,11
13659,8
13660,6
13661,6
13662,8
13663,10
13664,13
13665,7
13666,9
13667,11
13668,9
13669,8
13670,5
13671,5
13672,9
13673,4
13674,3
13675,2
13676,10
13677,4
13678,7
13679,7
13680,9
13681,4
13682,3
13683,5
13684,3
13685,4
13686,3
13687,4
13688,9
13689,8
13690,11
13691,9
13692,3
13693,7
13694,10
13695,7
13696,2
13697,8
13698,3
13699,5
